"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"30","En el último día del #WALC2019, una excelente semana aprendiendo sobre Internet de las Cosas, #IoTRocks",FALSE,0,NA,2019-11-15 17:49:46,FALSE,NA,"1195398499606679552",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","guajardo",0,FALSE,FALSE,NA,NA
"31","Éxito total #WALC2019 en #Guatemala",FALSE,1,NA,2019-11-15 17:49:05,FALSE,NA,"1195398328604938240",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jgochoa22",0,FALSE,FALSE,NA,NA
"32","#WALC2019 lugar inapropiado.",FALSE,0,NA,2019-11-15 17:48:27,FALSE,NA,"1195398166629273602",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RuizAdrianf",0,FALSE,FALSE,NA,NA
"33","#WALC2019 que excelente experiencia!!!!",FALSE,0,NA,2019-11-15 16:18:21,FALSE,NA,"1195375494281211912",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","medinillag",0,FALSE,FALSE,NA,NA
"34","estupenda la organización! Muy agradecido de poder ser parte de este #WALC2019 <U+0001F1EC><U+0001F1F9><U+0001F1FA><U+0001F1FE>",FALSE,0,NA,2019-11-15 15:31:05,FALSE,NA,"1195363600338169856",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","abelenda01",1,FALSE,FALSE,NA,NA
"35","#WALC2019 muy bueno, buenos talleristas",FALSE,0,NA,2019-11-15 14:38:08,FALSE,NA,"1195350273595760640",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","dalxgt",0,FALSE,FALSE,NA,NA
"36","Aprendemos mucho, y este aprendizaje sera para beneficio de muchos.#walc2019",FALSE,0,NA,2019-11-15 14:15:54,FALSE,NA,"1195344677383409666",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Fergus63754916",0,FALSE,FALSE,NA,NA
"37","#walc2019 muy interesante",FALSE,0,NA,2019-11-15 14:14:09,FALSE,NA,"1195344236331315202",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Miguel_92ixi",0,FALSE,FALSE,NA,NA
"38","Ultimo día de #walc2019 excelente semana. Hay que trabajar con LoraWAN en CR. A disfrutar el final del Track IoT.",FALSE,0,NA,2019-11-15 13:45:03,FALSE,NA,"1195336916385837056",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rgonzalez_tec",0,FALSE,FALSE,NA,NA
"39","El Cloud Computing y el Big Data con la integración de la Estadística pura y aplicada a través de algoritmos, permi… https://t.co/Hayz7Qq9xj",FALSE,2,NA,2019-11-15 13:33:34,TRUE,NA,"1195334026837602304",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","frodas",1,FALSE,FALSE,NA,NA
